case_id,package_name,runtime_dependency,dev_dependency,direct_dependency,transitive_dependency,package_reachable,containerized,exposed_service,fixed_version_available,reachability_confidence,context_confidence,evidence_reason,limitation_note
case_001,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_002,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_003,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_004,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_005,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_006,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_007,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_008,PyYAML,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_009,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_010,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_011,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_012,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_013,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_014,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_015,minimist,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_016,requests,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_017,express,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_017,qs,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_018,Flask,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_018,Jinja2,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_019,express,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_019,qs,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_020,Flask,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_020,Jinja2,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_021,express,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_021,qs,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_022,Flask,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_022,Jinja2,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_023,express,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_023,qs,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_024,Flask,True,False,True,False,True,False,True,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_024,Jinja2,False,False,False,True,False,False,True,True,medium,medium,dependency is present only as a transitive dependency in local manifests or lockfiles,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_025,minimist,False,True,True,False,False,False,False,True,medium,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_026,urllib3,False,True,True,False,False,False,False,True,medium,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_027,minimist,False,True,True,False,False,False,False,True,medium,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_028,urllib3,False,True,True,False,False,False,False,True,medium,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_029,minimist,False,True,True,False,False,False,False,True,medium,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_030,urllib3,False,True,True,False,False,False,False,True,medium,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_031,minimist,False,True,True,False,False,False,False,True,medium,medium,dependency is declared in a development dependency scope,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_032,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_033,PyYAML,True,False,True,False,True,False,False,False,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_034,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_035,PyYAML,True,False,True,False,True,False,False,False,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_036,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_037,PyYAML,True,False,True,False,True,False,False,False,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_038,lodash,True,False,True,False,True,False,False,True,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_039,openssl,False,False,False,True,False,True,False,False,low,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_040,libssl1.1,False,False,False,True,False,True,False,False,low,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_041,libc6,False,False,False,True,False,True,False,False,low,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_042,openssl,False,False,False,True,False,True,False,False,low,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_043,libssl1.1,False,False,False,True,False,True,False,False,low,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_044,libc6,False,False,False,True,False,True,False,False,low,low,container-layer package observed in local fixture metadata; static source analysis cannot prove package reachability,"static analysis cannot fully resolve dynamic imports, container package execution, or runtime configuration"
case_045,nanoid,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_046,packaging,True,False,True,False,True,False,False,False,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_047,nanoid,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_048,packaging,True,False,True,False,True,False,False,False,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
case_049,nanoid,True,False,True,False,False,False,False,True,medium,medium,dependency is declared in local manifests but no static import was observed,"manifest and static-source evidence support the classification, with normal static-analysis limits"
case_050,packaging,True,False,True,False,True,False,False,False,medium,medium,dependency is statically imported and used in a call expression,static import and call evidence observed; exploitability is not inferred
