case_id,finding_id,warning
case_001,43467daa40bf4d25cb44,weak or incomplete evidence kept the VEX-style status conservative
case_001,05d464298c48418eb870,weak or incomplete evidence kept the VEX-style status conservative
case_001,ac649cc52d7d06e64c74,weak or incomplete evidence kept the VEX-style status conservative
case_001,52df5173d3fdb79adb4e,weak or incomplete evidence kept the VEX-style status conservative
case_001,6ef11ce2ccfb42da5fb7,weak or incomplete evidence kept the VEX-style status conservative
case_002,94140debcfa4ad0a79ea,weak or incomplete evidence kept the VEX-style status conservative
case_003,a41e0c6d46f7e5a80cce,weak or incomplete evidence kept the VEX-style status conservative
case_003,9ae62f583410cb72b281,weak or incomplete evidence kept the VEX-style status conservative
case_003,78b5d786419948cf4d60,weak or incomplete evidence kept the VEX-style status conservative
case_003,ccbbf268b117000d38c6,weak or incomplete evidence kept the VEX-style status conservative
case_003,f06b527047699a540d22,weak or incomplete evidence kept the VEX-style status conservative
case_004,37b34e6578a556692199,weak or incomplete evidence kept the VEX-style status conservative
case_005,ad5242ab391b264a8339,weak or incomplete evidence kept the VEX-style status conservative
case_005,644732398f43e8ef9adf,weak or incomplete evidence kept the VEX-style status conservative
case_005,3a7bd891282ad1494f9e,weak or incomplete evidence kept the VEX-style status conservative
case_005,51cb74aee46ad378cdff,weak or incomplete evidence kept the VEX-style status conservative
case_005,f93bcb459ea8c89cb42f,weak or incomplete evidence kept the VEX-style status conservative
case_006,bb1f1aaf25014f7f725b,weak or incomplete evidence kept the VEX-style status conservative
case_007,6da7dcb28d93ec354a24,weak or incomplete evidence kept the VEX-style status conservative
case_007,45443f83d7ffae16b2d5,weak or incomplete evidence kept the VEX-style status conservative
case_007,986bbcaa99630768b294,weak or incomplete evidence kept the VEX-style status conservative
case_007,9a73980d7096056ad7a1,weak or incomplete evidence kept the VEX-style status conservative
case_007,ea5036e04bae5a560aa8,weak or incomplete evidence kept the VEX-style status conservative
case_008,1f880d6c783127da34b0,weak or incomplete evidence kept the VEX-style status conservative
case_009,deaa31846cc0fd8ceb82,weak or incomplete evidence kept the VEX-style status conservative
case_009,7f6efbcbe5410d408401,weak or incomplete evidence kept the VEX-style status conservative
case_010,ea78a180a9ae06551f9e,weak or incomplete evidence kept the VEX-style status conservative
case_010,c9e3889ac45e265041cf,weak or incomplete evidence kept the VEX-style status conservative
case_010,02f460ad7b9398cf21c0,weak or incomplete evidence kept the VEX-style status conservative
case_010,ee6ddc365d25f5b412e0,weak or incomplete evidence kept the VEX-style status conservative
case_010,48cb1a8aa7ff85d04b24,weak or incomplete evidence kept the VEX-style status conservative
case_011,ca2f712989ff7d36fc34,weak or incomplete evidence kept the VEX-style status conservative
case_011,4421cb015d6251153ad2,weak or incomplete evidence kept the VEX-style status conservative
case_012,3c9c2a79670f826dde78,weak or incomplete evidence kept the VEX-style status conservative
case_012,893142c3023bb0a20789,weak or incomplete evidence kept the VEX-style status conservative
case_012,923d94770a3d40ceaea0,weak or incomplete evidence kept the VEX-style status conservative
case_012,bc49a54214d1635ea1d0,weak or incomplete evidence kept the VEX-style status conservative
case_012,00038eb9bb0dfb81077c,weak or incomplete evidence kept the VEX-style status conservative
case_013,d9c7b061cadd3fac5c62,weak or incomplete evidence kept the VEX-style status conservative
case_013,584b446fe1529ff19370,weak or incomplete evidence kept the VEX-style status conservative
case_014,a37de33001c8d81cf663,weak or incomplete evidence kept the VEX-style status conservative
case_014,9cab54d3f556818f27eb,weak or incomplete evidence kept the VEX-style status conservative
case_014,b177d747a14b673082d5,weak or incomplete evidence kept the VEX-style status conservative
case_014,1f33321a533d386526a2,weak or incomplete evidence kept the VEX-style status conservative
case_014,292e3780817eb8d3a4cf,weak or incomplete evidence kept the VEX-style status conservative
case_015,a65401f422ae11934e1e,weak or incomplete evidence kept the VEX-style status conservative
case_015,b1bcb72b55d2ab97efc6,weak or incomplete evidence kept the VEX-style status conservative
case_016,a2d49b613b907cc60c90,weak or incomplete evidence kept the VEX-style status conservative
case_016,7e66676936963cf5a71e,weak or incomplete evidence kept the VEX-style status conservative
case_016,6aac5c36f3b213a1bed9,weak or incomplete evidence kept the VEX-style status conservative
case_016,c394b1b77c7587c9f2de,weak or incomplete evidence kept the VEX-style status conservative
case_016,e908a676abf6caee7fee,weak or incomplete evidence kept the VEX-style status conservative
case_017,5b76eaab3610a8af058c,weak or incomplete evidence kept the VEX-style status conservative
case_017,e08705857748d60ba734,weak or incomplete evidence kept the VEX-style status conservative
case_017,6fcd0bdc3d7c7a31e762,weak or incomplete evidence kept the VEX-style status conservative
case_017,05792c8dfd3351fb7286,weak or incomplete evidence kept the VEX-style status conservative
case_018,7bebf237fbfc461c4f5d,weak or incomplete evidence kept the VEX-style status conservative
case_018,db90da56d22d2276688b,weak or incomplete evidence kept the VEX-style status conservative
case_018,57dd608e3d1af78c40ac,weak or incomplete evidence kept the VEX-style status conservative
case_018,8f5ac911b6bf592dd32e,weak or incomplete evidence kept the VEX-style status conservative
case_018,bc3bf75fb5a7259c12c2,weak or incomplete evidence kept the VEX-style status conservative
case_018,789160f56279bbd9a5a1,weak or incomplete evidence kept the VEX-style status conservative
case_018,3ded2f5cac813afee8a5,weak or incomplete evidence kept the VEX-style status conservative
case_018,200fcc381fd02460d766,weak or incomplete evidence kept the VEX-style status conservative
case_018,edade59c3034ed4a4b87,weak or incomplete evidence kept the VEX-style status conservative
case_018,10f9db271974da78af5c,weak or incomplete evidence kept the VEX-style status conservative
case_019,fa9d71bbf2896549aa3a,weak or incomplete evidence kept the VEX-style status conservative
case_019,5e9c2bf5fb6791548430,weak or incomplete evidence kept the VEX-style status conservative
case_019,a5fa799bab3849ec0bff,weak or incomplete evidence kept the VEX-style status conservative
case_019,2ff8544aa8483b8c5967,weak or incomplete evidence kept the VEX-style status conservative
case_020,663c3174755221bad64a,weak or incomplete evidence kept the VEX-style status conservative
case_020,38ae27ba53c10af219ba,weak or incomplete evidence kept the VEX-style status conservative
case_020,a29c743de67329760efb,weak or incomplete evidence kept the VEX-style status conservative
case_020,e372f93ebdada10b75a3,weak or incomplete evidence kept the VEX-style status conservative
case_020,b42e3bb88b0c08f985d8,weak or incomplete evidence kept the VEX-style status conservative
case_020,dd3309273e4d0f97023a,weak or incomplete evidence kept the VEX-style status conservative
case_020,6707c5935c6c650fe445,weak or incomplete evidence kept the VEX-style status conservative
case_020,2c10f637f57b9c148b74,weak or incomplete evidence kept the VEX-style status conservative
case_020,a1fbcd41bdde37bc9ffb,weak or incomplete evidence kept the VEX-style status conservative
case_020,a5579bea8ec8b999f3e2,weak or incomplete evidence kept the VEX-style status conservative
case_021,fbe8c3351a4aa3daa501,weak or incomplete evidence kept the VEX-style status conservative
case_021,3d9f44081bd207805296,weak or incomplete evidence kept the VEX-style status conservative
case_021,607b0e0584b8e5403e59,weak or incomplete evidence kept the VEX-style status conservative
case_021,69fd8f073f58a30ab20e,weak or incomplete evidence kept the VEX-style status conservative
case_022,b28313b1b573c35db0c7,weak or incomplete evidence kept the VEX-style status conservative
case_022,77005605feb35cd06ef5,weak or incomplete evidence kept the VEX-style status conservative
case_022,acbe419f1f993b2a29c4,weak or incomplete evidence kept the VEX-style status conservative
case_022,a986ce036eed10c86285,weak or incomplete evidence kept the VEX-style status conservative
case_022,afa4a94ffa7bb36b27ee,weak or incomplete evidence kept the VEX-style status conservative
case_022,c41a8eb09c1cb71d4bb0,weak or incomplete evidence kept the VEX-style status conservative
case_022,6c0a166cfb7e005a3697,weak or incomplete evidence kept the VEX-style status conservative
case_022,a75e60098eaa8df22b68,weak or incomplete evidence kept the VEX-style status conservative
case_022,974434df5bbf6c667d11,weak or incomplete evidence kept the VEX-style status conservative
case_022,743ab0294b77f63f9b0e,weak or incomplete evidence kept the VEX-style status conservative
case_023,b9d56e0335ac33a939cc,weak or incomplete evidence kept the VEX-style status conservative
case_023,2eca861b667e59cfeddb,weak or incomplete evidence kept the VEX-style status conservative
case_023,ec2acca33b475fced4aa,weak or incomplete evidence kept the VEX-style status conservative
case_023,20bb33a1f2ff288dd466,weak or incomplete evidence kept the VEX-style status conservative
case_024,c5e4266beecd374a9631,weak or incomplete evidence kept the VEX-style status conservative
case_024,b8a5dbf099ef8c9453ad,weak or incomplete evidence kept the VEX-style status conservative
case_024,45638add9dc0f2ffb8d8,weak or incomplete evidence kept the VEX-style status conservative
case_024,b8c9df1ce3e63f506a64,weak or incomplete evidence kept the VEX-style status conservative
case_024,3cc3cbe2fae3d180867a,weak or incomplete evidence kept the VEX-style status conservative
case_024,c83ef258f05a9e7a63b8,weak or incomplete evidence kept the VEX-style status conservative
case_024,0269a2cbaadbdccc984c,weak or incomplete evidence kept the VEX-style status conservative
case_024,37aa266b2467b0353d2a,weak or incomplete evidence kept the VEX-style status conservative
case_024,5604d1fe98adf4c99c5f,weak or incomplete evidence kept the VEX-style status conservative
case_024,82497308b920a31d4a46,weak or incomplete evidence kept the VEX-style status conservative
case_025,aa79a4b2072e9a6d461e,weak or incomplete evidence kept the VEX-style status conservative
case_025,2eb7b7a27761f8e9459a,weak or incomplete evidence kept the VEX-style status conservative
case_026,09bdae03ad62550c0db4,weak or incomplete evidence kept the VEX-style status conservative
case_026,ab47f2b158c8529406e0,weak or incomplete evidence kept the VEX-style status conservative
case_026,237b2ed9c2079ddad1f0,weak or incomplete evidence kept the VEX-style status conservative
case_026,8951afaacf7dcf579ad8,weak or incomplete evidence kept the VEX-style status conservative
case_026,565235d0d7f6582f9e49,weak or incomplete evidence kept the VEX-style status conservative
case_026,2cf893312a03cf232fd9,weak or incomplete evidence kept the VEX-style status conservative
case_026,d7b746928d908d87e911,weak or incomplete evidence kept the VEX-style status conservative
case_026,20c5bf90d15b5b090b9d,weak or incomplete evidence kept the VEX-style status conservative
case_026,24bdcb6165755c51732e,weak or incomplete evidence kept the VEX-style status conservative
case_026,db2873a4b62c6d238db3,weak or incomplete evidence kept the VEX-style status conservative
case_026,ec3d9df3e9afb2fadb64,weak or incomplete evidence kept the VEX-style status conservative
case_026,04d086f15bea4caab34b,weak or incomplete evidence kept the VEX-style status conservative
case_027,465933d7cae65beed4fd,weak or incomplete evidence kept the VEX-style status conservative
case_027,dfae8ad704da95274191,weak or incomplete evidence kept the VEX-style status conservative
case_028,e7d36891696764a732ce,weak or incomplete evidence kept the VEX-style status conservative
case_028,78d2332c4655b1027688,weak or incomplete evidence kept the VEX-style status conservative
case_028,5a935501b457126849b5,weak or incomplete evidence kept the VEX-style status conservative
case_028,0a871ecf13f19f752b8e,weak or incomplete evidence kept the VEX-style status conservative
case_028,cee7ccdabcae7ef891db,weak or incomplete evidence kept the VEX-style status conservative
case_028,ec3049588b2ab2480b0b,weak or incomplete evidence kept the VEX-style status conservative
case_028,d7b1c42af4c005d582a6,weak or incomplete evidence kept the VEX-style status conservative
case_028,bcbbfe93a60dd9647b8c,weak or incomplete evidence kept the VEX-style status conservative
case_028,7672464a1223167cadbc,weak or incomplete evidence kept the VEX-style status conservative
case_028,2b2f3a9f3ff9dd607652,weak or incomplete evidence kept the VEX-style status conservative
case_028,8cead381b51f76c6c592,weak or incomplete evidence kept the VEX-style status conservative
case_028,67021a446f605505242e,weak or incomplete evidence kept the VEX-style status conservative
case_029,685559859052d3c6ea29,weak or incomplete evidence kept the VEX-style status conservative
case_029,0947d9e9159ac6687121,weak or incomplete evidence kept the VEX-style status conservative
case_030,9be7813acf88c30a4e08,weak or incomplete evidence kept the VEX-style status conservative
case_030,a881d36d7b9d7dff32e6,weak or incomplete evidence kept the VEX-style status conservative
case_030,30543bc3ca8bbf8a2df4,weak or incomplete evidence kept the VEX-style status conservative
case_030,4a85d74d80591e7ddb47,weak or incomplete evidence kept the VEX-style status conservative
case_030,302d142ee0444dc5c863,weak or incomplete evidence kept the VEX-style status conservative
case_030,758720e309d0f1112f3b,weak or incomplete evidence kept the VEX-style status conservative
case_030,0407b1ce9c51b108ffb5,weak or incomplete evidence kept the VEX-style status conservative
case_030,061d8d41f30888039b3b,weak or incomplete evidence kept the VEX-style status conservative
case_030,491f5cc8cfe805d98fac,weak or incomplete evidence kept the VEX-style status conservative
case_030,dfc17a2c69555b27a464,weak or incomplete evidence kept the VEX-style status conservative
case_030,0c5757245b28274e9199,weak or incomplete evidence kept the VEX-style status conservative
case_030,a4eecb1b68eab5ee397f,weak or incomplete evidence kept the VEX-style status conservative
case_031,a00fb906491d4b670ee6,weak or incomplete evidence kept the VEX-style status conservative
case_031,11bed7af8b5892a7b122,weak or incomplete evidence kept the VEX-style status conservative
case_032,b4d1b370953674d1d327,weak or incomplete evidence kept the VEX-style status conservative
case_032,fc5c775799e97a14d4d1,weak or incomplete evidence kept the VEX-style status conservative
case_032,0726a31b529ceaa1adc7,weak or incomplete evidence kept the VEX-style status conservative
case_034,9ec61679d5761db5aae7,weak or incomplete evidence kept the VEX-style status conservative
case_034,f3bb92180ed6db301b6d,weak or incomplete evidence kept the VEX-style status conservative
case_034,58891f6fc8688fa9c05c,weak or incomplete evidence kept the VEX-style status conservative
case_036,8a83307f1e4d71d4a3fa,weak or incomplete evidence kept the VEX-style status conservative
case_036,bd629526a2f05d3d8e28,weak or incomplete evidence kept the VEX-style status conservative
case_036,f0b529e2e1409804c79a,weak or incomplete evidence kept the VEX-style status conservative
case_038,b842688fa05bc7e36f4f,weak or incomplete evidence kept the VEX-style status conservative
case_038,c38867f55e89350f8d7e,weak or incomplete evidence kept the VEX-style status conservative
case_038,fbc2f01801d494f5ea09,weak or incomplete evidence kept the VEX-style status conservative
case_045,b527d06a9b9be302a230,weak or incomplete evidence kept the VEX-style status conservative
case_047,615d93b90b0e5c97a161,weak or incomplete evidence kept the VEX-style status conservative
case_049,1ba40b86720eaa5b840f,weak or incomplete evidence kept the VEX-style status conservative
